ad:andorra_telecom:internap	AD	Andorra Telecom	Internap	100	486	161	657
ad:andorra_telecom:internode	AD	Andorra Telecom	Internode	100	776	466	2182
ad:andorra_telecom:joyent	AD	Andorra Telecom	Joyent	99	913	338	1261
ad:andorra_telecom:level3	AD	Andorra Telecom	Level3	100	599	330	1636
ad:andorra_telecom:limelight	AD	Andorra Telecom	Limelight	3		108	
ad:andorra_telecom:msn	AD	Andorra Telecom	MSN	99	614	287	
ad:andorra_telecom:maxcdn	AD	Andorra Telecom	MaxCDN	95	551	253	986
ad:andorra_telecom:microsoft_azure	AD	Andorra Telecom	Microsoft Azure	100	705	288	1401
ad:andorra_telecom:ngenix	AD	Andorra Telecom	Ngenix	100	361	215	942
ad:andorra_telecom:nirvanix	AD	Andorra Telecom	Nirvanix	0		250	
ad:andorra_telecom:qzone	AD	Andorra Telecom	Qzone	98	1640	591	
ad:andorra_telecom:rackspace_cloudfiles	AD	Andorra Telecom	Rackspace CloudFiles	99	291	177	536
ad:andorra_telecom:rackspace_cloudserver	AD	Andorra Telecom	Rackspace CloudServer	48	2686	2229	2096
ad:andorra_telecom:simplecdn	AD	Andorra Telecom	SimpleCDN	99	575	264	1372
ad:andorra_telecom:twitter	AD	Andorra Telecom	Twitter	98	653	517	
ad:andorra_telecom:yacast	AD	Andorra Telecom	Yacast	52		152	
ad:andorra_telecom:yahoo	AD	Andorra Telecom	Yahoo	97	543	192	
ad:andorra_telecom:youtube	AD	Andorra Telecom	YouTube	96	440	274	
ae:cyprus_telecommunications_authority:aol	AE	Cyprus Telecommunications Authority	AOL	100	3314	788	
ae:cyprus_telecommunications_authority:akamai	AE	Cyprus Telecommunications Authority	Akamai	100		1453	
ae:cyprus_telecommunications_authority:amazon_ec2_eu	AE	Cyprus Telecommunications Authority	Amazon EC2 (EU)	86	1647	1401	1955
ae:cyprus_telecommunications_authority:amazon_ec2_us	AE	Cyprus Telecommunications Authority	Amazon EC2 (US)	87	3162	1330	5457
ae:cyprus_telecommunications_authority:amazon_s3_eu	AE	Cyprus Telecommunications Authority	Amazon S3 (EU)	57	3103	1376	
ae:cyprus_telecommunications_authority:amazon_s3_us	AE	Cyprus Telecommunications Authority	Amazon S3 (US)	55	1926	1891	3220
ae:cyprus_telecommunications_authority:bing	AE	Cyprus Telecommunications Authority	Bing	100	3532	1505	
ae:cyprus_telecommunications_authority:bitgravity	AE	Cyprus Telecommunications Authority	BitGravity	100		1779	
ae:cyprus_telecommunications_authority:cdnetworks	AE	Cyprus Telecommunications Authority	CDNetworks	83	2478	2157	1838
ae:cyprus_telecommunications_authority:cachefly	AE	Cyprus Telecommunications Authority	CacheFly	80	4241	1285	
ae:cyprus_telecommunications_authority:chinacache	AE	Cyprus Telecommunications Authority	ChinaCache	75	4552	1774	
ae:cyprus_telecommunications_authority:cloudfront	AE	Cyprus Telecommunications Authority	Cloudfront	100		1480	
ae:cyprus_telecommunications_authority:cotendo	AE	Cyprus Telecommunications Authority	Cotendo	100		1649	
ae:cyprus_telecommunications_authority:edgecast	AE	Cyprus Telecommunications Authority	Edgecast	82	2814	1949	
ae:cyprus_telecommunications_authority:facebook	AE	Cyprus Telecommunications Authority	Facebook	100	2720	2807	
ae:cyprus_telecommunications_authority:gogrid	AE	Cyprus Telecommunications Authority	GoGrid	50		1728	
ae:cyprus_telecommunications_authority:google_app_engine	AE	Cyprus Telecommunications Authority	Google App Engine	95	3899	2034	1481
ae:cyprus_telecommunications_authority:highwinds	AE	Cyprus Telecommunications Authority	Highwinds	80	2482	2106	5478
ae:cyprus_telecommunications_authority:internap	AE	Cyprus Telecommunications Authority	Internap	75	2518	1314	5048
ae:cyprus_telecommunications_authority:internode	AE	Cyprus Telecommunications Authority	Internode	100		2681	
ae:cyprus_telecommunications_authority:joyent	AE	Cyprus Telecommunications Authority	Joyent	75	5730	2007	
ae:cyprus_telecommunications_authority:level3	AE	Cyprus Telecommunications Authority	Level3	71		2059	
ae:cyprus_telecommunications_authority:limelight	AE	Cyprus Telecommunications Authority	Limelight	0			
ae:cyprus_telecommunications_authority:msn	AE	Cyprus Telecommunications Authority	MSN	100	3422	1852	
ae:cyprus_telecommunications_authority:maxcdn	AE	Cyprus Telecommunications Authority	MaxCDN	100	2418	832	1187
ae:cyprus_telecommunications_authority:microsoft_azure	AE	Cyprus Telecommunications Authority	Microsoft Azure	63	2259	1488	
ae:cyprus_telecommunications_authority:ngenix	AE	Cyprus Telecommunications Authority	Ngenix	100	1510	1743	1830
ae:cyprus_telecommunications_authority:nirvanix	AE	Cyprus Telecommunications Authority	Nirvanix	0			
ae:cyprus_telecommunications_authority:qzone	AE	Cyprus Telecommunications Authority	Qzone	100	6018		
ae:cyprus_telecommunications_authority:rackspace_cloudfiles	AE	Cyprus Telecommunications Authority	Rackspace CloudFiles	80	2764	1389	5441
ae:cyprus_telecommunications_authority:rackspace_cloudserver	AE	Cyprus Telecommunications Authority	Rackspace CloudServer	19	4680	2009	
ae:cyprus_telecommunications_authority:simplecdn	AE	Cyprus Telecommunications Authority	SimpleCDN	55	4715	1566	
ae:cyprus_telecommunications_authority:twitter	AE	Cyprus Telecommunications Authority	Twitter	100	3279	3700	
ae:cyprus_telecommunications_authority:yacast	AE	Cyprus Telecommunications Authority	Yacast	100		2437	
ae:cyprus_telecommunications_authority:yahoo	AE	Cyprus Telecommunications Authority	Yahoo	92	7735	3408	
ae:cyprus_telecommunications_authority:youtube	AE	Cyprus Telecommunications Authority	YouTube	100	1397	316	
ae:dod_network_information_center:aol	AE	Dod Network Information Center	AOL	0			
ae:dod_network_information_center:akamai	AE	Dod Network Information Center	Akamai	0			
ae:dod_network_information_center:amazon_ec2_eu	AE	Dod Network Information Center	Amazon EC2 (EU)	0			
ae:dod_network_information_center:amazon_ec2_us	AE	Dod Network Information Center	Amazon EC2 (US)	100		2719	
ae:dod_network_information_center:amazon_s3_eu	AE	Dod Network Information Center	Amazon S3 (EU)	50		250	
ae:dod_network_information_center:bing	AE	Dod Network Information Center	Bing	0			
ae:dod_network_information_center:cdnetworks	AE	Dod Network Information Center	CDNetworks	0			
ae:dod_network_information_center:cachefly	AE	Dod Network Information Center	CacheFly	100		218	
ae:dod_network_information_center:chinacache	AE	Dod Network Information Center	ChinaCache	0			
ae:dod_network_information_center:cloudfront	AE	Dod Network Information Center	Cloudfront	100		391	
ae:dod_network_information_center:edgecast	AE	Dod Network Information Center	Edgecast	0			
ae:dod_network_information_center:facebook	AE	Dod Network Information Center	Facebook	0			
ae:dod_network_information_center:highwinds	AE	Dod Network Information Center	Highwinds	0			
ae:dod_network_information_center:joyent	AE	Dod Network Information Center	Joyent	100		1547	
ae:dod_network_information_center:maxcdn	AE	Dod Network Information Center	MaxCDN	100		218	
ae:dod_network_information_center:microsoft_azure	AE	Dod Network Information Center	Microsoft Azure	0			
ae:dod_network_information_center:ngenix	AE	Dod Network Information Center	Ngenix	100		3203	
ae:dod_network_information_center:nirvanix	AE	Dod Network Information Center	Nirvanix	0			
ae:dod_network_information_center:rackspace_cloudfiles	AE	Dod Network Information Center	Rackspace CloudFiles	100		1204	
ae:dod_network_information_center:rackspace_cloudserver	AE	Dod Network Information Center	Rackspace CloudServer	0			
ae:dod_network_information_center:yacast	AE	Dod Network Information Center	Yacast	0			
ae:dod_network_information_center:youtube	AE	Dod Network Information Center	YouTube	0			
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:aol	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	AOL	99	1109	429	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:akamai	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Akamai	98	908	520	3162
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:amazon_ec2_eu	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Amazon EC2 (EU)	97	720	339	2127
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:amazon_ec2_us	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Amazon EC2 (US)	98	814	336	2410
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:amazon_s3_eu	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Amazon S3 (EU)	97	773	317	2077
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:amazon_s3_us	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Amazon S3 (US)	96	1029	460	2842
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:bing	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	Bing	100	649	471	
ae:emirates_integrated_telecommunications_company_pjsc_eitcdu:bitgravity	AE	Emirates Integrated Telecommunications Company Pjsc Eitcdu	BitGravity	77	1047	407	
