key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper
Madison Capital Times				Clinton								WI	Madison	Madison Capital Times
Pawtucket Times				Dole								RI	Pawtucket	Pawtucket Times
Bowling Green Daily News	McCain											KY	Bowling Green	Bowling Green Daily News
Taunton Daily Gazette				Clinton								MA	Taunton	Taunton Daily Gazette
New Orleans Times-Picayune		N/A										LA	New Orleans	New Orleans Times-Picayune
Hutchinson News			Gore	Dole								KS	Hutchinson	Hutchinson News
Albuquerque Journal			Bush	Dole								NM	Albuquerque	Albuquerque Journal
Ardmore Daily Ardmoreite				Dole								OK	Ardmore	Ardmore Daily Ardmoreite
New York Times	Obama	Kerry	Gore	Clinton								NY	New York	New York Times
Chicago Sun-Times	Obama	Kerry	Bush	Clinton								IL	Chicago	Chicago Sun-Times
Quincy Herald-Whig			Bush									IL	Quincy	Quincy Herald-Whig
Ventura County Star			Bush	Dole								CA	Ventura	Ventura County Star
San Francisco Chronicle	Obama	Kerry	Gore									CA	San Francisco	San Francisco Chronicle
South Bend Tribune				Clinton								IN	South Bend	South Bend Tribune
Coos Bay World				Dole								OR	Coos Bay	Coos Bay World
Lakeland Ledger	Obama	Bush										FL	Lakeland	Lakeland Ledger
Marietta Daily Journal			Bush									GA	Marietta	Marietta Daily Journal
Southwest Times			Bush									VA	Pulaski	Southwest Times
Belleville News-Democrat				Dole								IL	Belleville	Belleville News-Democrat
Thomasville Times-Enterprise				Dole								GA	Thomasville	Thomasville Times-Enterprise
Sarasota Herald-Tribune	Obama	Kerry	Gore									FL	Sarasota	Sarasota Herald-Tribune
Gloucester County Times	Obama											NJ	Woodbury	Gloucester County Times
Lexington Herald-Leader	Obama	Kerry	Gore									KY	Lexington	Lexington Herald-Leader
Long Beach Press Telegram	Obama	Bush										CA	Long Beach	Long Beach Press Telegram
News-Press			Bush									FL	Fort Myers	News-Press
Columbia Daily Tribune	Obama	Kerry	Bush	Dole								MO	Columbia	Columbia Daily Tribune
Talladega Daily Home				Clinton								AL	Talladega	Talladega Daily Home
Columbian	Obama	Bush	Bush									WA	Vancouver	Columbian
Item			Bush									SC	Sumter	Item
Grand Island Independent				Dole								NE	Grand Island	Grand Island Independent
Ridgecrest Daily Independent				Dole								CA	Ridgecrest	Ridgecrest Daily Independent
Daily Star	Obama	Kerry	Gore									NY	Oneonta	Daily Star
Bremerion Sun				Dole								WA	Bremerion	Bremerion Sun
Lynchburg News-Advance	McCain											VA	Lynchburg	Lynchburg News-Advance
Muskogee Phoenix												OK	Muskogee	Muskogee Phoenix
Houston Chronicle	Obama	Bush	Bush	Dole								TX	Houston	Houston Chronicle
Washington DC Examiner	McCain	none										DC	Washington	Washington DC Examiner
Bay City News	Obama											MI	Bay City	Bay City News
Des Moines Register	Obama	Kerry	Gore	Clinton								IA	Des Moines	Des Moines Register
Star Tribune			Gore									MN	Minneapolis	Star Tribune
Bulletin			Bush									OR	Bend	Bulletin
Ashland Daily Tidings	Obama			Clinton								OR	Ashland	Ashland Daily Tidings
Inland Valley Daily Bulletin	Obama	Bush		Dole								CA	Ontario	Inland Valley Daily Bulletin
Florence Times Daily	Obama											AL	Florence	Florence Times Daily
Tri-City Herald	Obama	Kerry	Bush									WA	Kennewick	Tri-City Herald
Democrat & Chronicle												NY	Rochester	Democrat & Chronicle
North Adams Transcript	Obama											MA	North Adams	North Adams Transcript
Fort Worth Star-Telegram	Obama	Bush	Bush	Dole								TX	Fort Worth	Fort Worth Star-Telegram
Charleston Gazette	Obama	Kerry	Gore	Clinton								WV	Charleston	Charleston Gazette
Columbus Dispatch	McCain	Bush	Bush	Dole								OH	Columbus	Columbus Dispatch
Pantagraph	Obama	Bush	Bush									IL	Bloomington	Pantagraph
Cumberland Times-News				Dole								MD	Cumberland	Cumberland Times-News
Rutland Herald			Gore									VT	Rutland	Rutland Herald
Standard-Times	Obama	Kerry										MA	New Bedford	Standard-Times
Bartlesville Examiner-Enterprise	McCain											OK	Bartlesville	Bartlesville Examiner-Enterprise
Moberly Monitor-Index				Clinton								MO	Moberly	Moberly Monitor-Index
Hickory Daily Record			Bush									NC	Hickory	Hickory Daily Record
Whittier Daily News			Bush									CA	Whittier	Whittier Daily News
Daily Item	Obama	none										PA	Sunbury	Daily Item
