key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper	metro	pop
Norton Daily Telegram Tiller and Toiler					GHWBush					39.8338946	-99.8915113	KS	Norton	Norton Daily Telegram Tiller and Toiler	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	2830
Greenwich Time			Bush		Clinton					41.022875	-73.564846	CT	Old Greenwich	Greenwich Time	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	63652
Willmar West Central Tribune				Dole	GHWBush					45.1219075	-95.0433424	MN	Willmar	Willmar West Central Tribune	"#<struct CityMetro st=""MN"", city=""Willmar"", fips_state=""27"", fips_place=""70420"", cbsa_code=""48820"", metro_name=""Willmar, MN uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	18473
Register Citizen	McCain	Bush					8217			41.8006523	-73.1212214	CT	Torrington	Register Citizen	"#<struct CityMetro st=""CT"", city=""Torrington"", fips_state=""09"", fips_place=""76500"", cbsa_code=""45860"", metro_name=""Torrington, CT uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	35202
Mountain Valley News										38.9016487	-107.926454	CO	Cedaredge	Mountain Valley News	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	2152
Keene Sentinel	Obama	Kerry	Gore				12119			42.933692	-72.2781409	NH	Keene	Keene Sentinel	"#<struct CityMetro st=""NH"", city=""Keene"", fips_state=""33"", fips_place=""39300"", cbsa_code=""28300"", metro_name=""Keene, NH uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	22891
Joplin Globe	Obama	Bush	Bush	Dole	GHWBush		26700			37.0842271	-94.513281	MO	Joplin	Joplin Globe	"#<struct CityMetro st=""MO"", city=""Joplin"", fips_state=""29"", fips_place=""37592"", cbsa_code=""27900"", metro_name=""Joplin, MO MSA"", metro_stature=""MSA"", pop_2007=171278, pop_2000=157322, pop_rank=235, pop_chg_pct_00_07=8.87, pop_chg_pct_avg=1.27, pop_at_or_above=235338815, pop_aoa_pct=77.1, metro_st=""MO"", metro_nickname=nil, csa_name=nil>"	46818
Anniston Star			Gore	Clinton						33.6598257	-85.8316318	AL	Anniston	Anniston Star	"#<struct CityMetro st=""AL"", city=""Anniston"", fips_state=""01"", fips_place=""01852"", cbsa_code=""11500"", metro_name=""Anniston-Oxford, AL MSA"", metro_stature=""MSA"", pop_2007=113103, pop_2000=112249, pop_rank=350, pop_chg_pct_00_07=0.76, pop_chg_pct_avg=0.11, pop_at_or_above=247679868, pop_aoa_pct=81.2, metro_st=""AL"", metro_nickname=nil, csa_name=nil>"	23423
Cedar Rapids Gazette				Dole						42.0083328	-91.6440683	IA	Cedar Rapids	Cedar Rapids Gazette	"#<struct CityMetro st=""IA"", city=""Cedar Rapids"", fips_state=""19"", fips_place=""12000"", cbsa_code=""16300"", metro_name=""Cedar Rapids, IA MSA"", metro_stature=""MSA"", pop_2007=252784, pop_2000=237230, pop_rank=174, pop_chg_pct_00_07=6.56, pop_chg_pct_avg=0.94, pop_at_or_above=223716676, pop_aoa_pct=73.3, metro_st=""IA"", metro_nickname=nil, csa_name=nil>"	120758
Reporter	Obama	Bush					17751			38.3565773	-121.9877444	CA	Vacaville	Reporter	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	96469
