2007 Pop	2000 Pop	Rank	"%Pop Chg 
2000-2007"	"Pop
%Chg/yr"	"05 Pop
at or above"	"%05 Pop
at or above"	State	Metropolitan Statistical Area	Nickname(s)	Combined Statistical Area	US Population:	"305,186,613"
183733	175506	222	4.69%	0.67%	233564379	76.5%	IN	"Bloomington, IN MSA"		
181860	177749	223	2.31%	0.33%	233746239	76.6%	NY	"Kingston, NY MSA"		"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"
181499	170498	224	6.45%	0.92%	233927738	76.7%	FL	"Fort Walton Beach-Crestview-Destin, FL MSA"		
181082	163618	225	10.67%	1.52%	234108820	76.7%	MN	"Rochester, MN MSA"		
180175	139277	226	29.36%	4.19%	234288995	76.8%	GA	"Gainesville, GA MSA"		"Atlanta-Sandy Springs-Gainesville, GA-AL CSA"
179981	165740	227	8.59%	1.23%	234468976	76.8%	SC	"Anderson, SC MSA"	The Upstate	"Greenville-Spartanburg-Anderson, SC CSA"
179427	163256	228	9.91%	1.42%	234648403	76.9%	CA	"Redding, CA MSA"	Shasta County	
174386	170200	229	2.46%	0.35%	234822789	76.9%	MI	"Muskegon-Norton Shores, MI MSA"	West Michigan	"Grand Rapids-Muskegon-Holland, MI CSA"
172473	152772	231	12.90%	1.84%	234995262	77.0%	NC	"Greenville, NC MSA"		
172275	170053	232	1.31%	0.19%	235167537	77.1%	LA	"Monroe, LA MSA"		"Monroe-Bastrop, LA CSA"
171278	157322	235	8.87%	1.27%	235338815	77.1%	MO	"Joplin, MO MSA"		
169346	170943	236	-0.93%	-0.13%	235508161	77.2%	IN	"Terre Haute, IN MSA"	The Wabash Valley	
164209	150433	239	9.16%	1.31%	235672370	77.2%	IL	"Bloomington-Normal, IL MSA"		
164138	139149	240	17.96%	2.57%	235836508	77.3%	CA	"Yuba City, CA MSA"		"Sacramento-Arden-Arcade-Yuba City, CA-NV CSA"
164069	157833	241	3.95%	0.56%	236000577	77.3%	GA	"Albany, GA MSA"		
163984	148217	242	10.64%	1.52%	236164561	77.4%	FL	"Panama City-Lynn Haven, FL MSA"		
163329	163706	243	-0.23%	-0.03%	236327890	77.4%	IA	"Waterloo-Cedar Falls, IA MSA"	Waterloo-Cedar Falls Metro	
163006	158422	244	2.89%	0.41%	236490896	77.5%	MI	"Jackson, MI MSA"		
162745	150355	245	8.24%	1.18%	236653641	77.5%	NC	"Jacksonville, NC MSA"		
162314	145666	246	11.43%	1.63%	236815955	77.6%	MO	"Columbia, MO MSA"	Mid-Missouri	
162154	156763	247	3.44%	0.49%	236978109	77.7%	WI	"Oshkosh-Neenah, WI MSA"		"Appleton-Oshkosh-Neenah, WI CSA"
161867	142361	248	13.70%	1.96%	237139976	77.7%	CA	"El Centro, CA MSA"	"Imperial County, Imperial Valley"	
160656	164624	249	-2.41%	-0.34%	237300632	77.8%	WV-OH	"Parkersburg-Marietta-Vienna, WV-OH MSA"		
159623	152307	250	4.80%	0.69%	237460255	77.8%	WI	"Janesville, WI MSA"		
159589	162453	251	-1.76%	-0.25%	237619844	77.9%	MI	"Niles-Benton Harbor, MI MSA"		
159343	160245	252	-0.56%	-0.08%	237779187	77.9%	TX	"Abilene, TX MSA"		
157808	148337	253	6.38%	0.91%	237936995	78.0%	WI	"Eau Claire, WI MSA"		"Eau Claire-Menomonie, WI CSA"
157614	151272	254	4.19%	0.60%	238094609	78.0%	VA	"Blacksburg-Christiansburg-Radford, VA MSA"	New River Valley	
155544	146438	256	6.22%	0.89%	238250153	78.1%	NJ	"Vineland-Millville-Bridgeton, NJ MSA"		"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA"
154538	141472	257	9.24%	1.32%	238404691	78.1%	CO	"Pueblo, CO MSA"	Pueblo County	
154028	115367	258	33.51%	4.79%	238558719	78.2%	OR	"Bend, OR MSA"	Deschutes County	"Bend-Prineville, OR CSA"
153608	145945	260	5.25%	0.75%	238712327	78.2%	MI	"Monroe, MI MSA"		"Detroit-Warren-Flint, MI CSA"
152814	141627	261	7.90%	1.13%	238865141	78.3%	FL	"Punta Gorda, FL MSA"		"Sarasota-Bradenton-Punta Gorda, FL CSA"
152255	126697	262	20.17%	2.88%	239017396	78.3%	DE	"Dover, DE MSA"		
152035	150564	263	0.98%	0.14%	239169431	78.4%	MS	"Pascagoula, MS MSA"		"Gulfport-Biloxi-Pascagoula, MS CSA"
149837	145035	265	3.31%	0.47%	239319268	78.4%	LA	"Alexandria, LA MSA"		
