head,pos,lemma,freq,disp,freq_sp,freq_wr,tag,head_orig,tag_lemma
appreciation,NoC,appreciation,13,0.95,,,appreciation_NoC,appreciation,appreciation_NoC_appreciation
battery,NoC,battery,13,0.88,,,battery_NoC,battery,battery_NoC_battery
pose,Verb,posed,13,0.94,,,pose_Verb,pose,pose_Verb_posed
palm,NoC,palm,13,0.91,,,palm_NoC,palm,palm_NoC_palm
diagram,NoC,diagram,13,0.87,,,diagram_NoC,diagram,diagram_NoC_diagram
lap,NoC,lap,13,0.89,,,lap_NoC,lap,lap_NoC_lap
furious,Adj,furious,13,0.9,,,furious_Adj,furious,furious_Adj_furious
drop,Verb,dropping,13,0.94,,,drop_Verb,drop,drop_Verb_dropping
allowance,NoC,allowances,13,0.86,,,allowance_NoC,allowance,allowance_NoC_allowances
continuity,NoC,continuity,13,0.91,,,continuity_NoC,continuity,continuity_NoC_continuity
importantly,Adv,importantly,13,0.94,,,importantly_Adv,importantly,importantly_Adv_importantly
liquid,Adj,liquid,13,0.89,,,liquid_Adj,liquid,liquid_Adj_liquid
Guinness,NoP,Guinness,13,0.68,,,Guinness_NoP,Guinness,Guinness_NoP_Guinness
senate,NoC,senate,13,0.69,,,senate_NoC,senate,senate_NoC_senate
objection,NoC,objection,13,0.91,,,objection_NoC,objection,objection_NoC_objection
sunlight,NoC,sunlight,13,0.89,,,sunlight_NoC,sunlight,sunlight_NoC_sunlight
nonetheless,Adv,nonetheless,13,0.91,,,nonetheless_Adv,nonetheless,nonetheless_Adv_nonetheless
Vienna,NoP,Vienna,13,0.88,,,Vienna_NoP,Vienna,Vienna_NoP_Vienna
fiscal,Adj,fiscal,13,0.82,,,fiscal_Adj,fiscal,fiscal_Adj_fiscal
devote,Verb,devoted,13,0.92,,,devote_Verb,devote,devote_Verb_devoted
oven,NoC,oven,13,0.87,,,oven_NoC,oven,oven_NoC_oven
educate,Verb,educated,13,0.76,,,educate_Verb,educate,educate_Verb_educated
jewellery,NoC,jewellery,13,0.92,,,jewellery_NoC,jewellery,jewellery_NoC_jewellery
soccer,NoC,soccer,13,0.79,,,soccer_NoC,soccer,soccer_NoC_soccer
compliance,NoC,compliance,13,0.86,,,compliance_NoC,compliance,compliance_NoC_compliance
contrary to,Prep,contrary to,13,0.88,,,contrary to_Prep,contrary to,contrary to_Prep_contrary to
spell,NoC,spell,13,0.91,,,spell_NoC,spell,spell_NoC_spell
misleading,Adj,misleading,13,0.92,,,misleading_Adj,misleading,misleading_Adj_misleading
protective,Adj,protective,13,0.94,,,protective_Adj,protective,protective_Adj_protective
printing,NoC,printing,13,0.86,,,printing_NoC,printing,printing_NoC_printing
faculty,NoC,faculty,13,0.7,,,faculty_NoC,faculty,faculty_NoC_faculty
reduction,NoC,reductions,13,0.88,,,reduction_NoC,reduction,reduction_NoC_reductions
continually,Adv,continually,13,0.94,,,continually_Adv,continually,continually_Adv_continually
10%,NoC,10%,13,0.83,,,10%_NoC,10%,10%_NoC_10%
Samuel,NoP,Samuel,13,0.85,,,Samuel_NoP,Samuel,Samuel_NoP_Samuel
nail,NoC,nails,13,0.72,,,nail_NoC,nail,nail_NoC_nails
for ever,Adv,for ever,13,0.91,,,for ever_Adv,for ever,for ever_Adv_for ever
mysterious,Adj,mysterious,13,0.93,,,mysterious_Adj,mysterious,mysterious_Adj_mysterious
grave,NoC,grave,13,0.91,,,grave_NoC,grave,grave_NoC_grave
driving,Adj,driving,13,0.93,,,driving_Adj,driving,driving_Adj_driving
Kim,NoP,Kim,13,0.8,,,Kim_NoP,Kim,Kim_NoP_Kim
soap,NoC,soap,13,0.91,,,soap_NoC,soap,soap_NoC_soap
circular,Adj,circular,13,0.91,,,circular_Adj,circular,circular_Adj_circular
expression,NoC,expressions,13,0.91,,,expression_NoC,expression,expression_NoC_expressions
burning,Adj,burning,13,0.92,,,burning_Adj,burning,burning_Adj_burning
insufficient,Adj,insufficient,13,0.92,,,insufficient_Adj,insufficient,insufficient_Adj_insufficient
consist,Verb,consisted,13,0.92,,,consist_Verb,consist,consist_Verb_consisted
subject,Verb,subjected,13,0.93,,,subject_Verb,subject,subject_Verb_subjected
receive,Verb,receives,13,0.92,3,14,receive_Verb,receive,receive_Verb_receives
incentive,NoC,incentive,13,0.92,,,incentive_NoC,incentive,incentive_NoC_incentive
phone,Verb,phoned,13,0.84,,,phone_Verb,phone,phone_Verb_phoned
climb,Verb,climbing,13,0.9,,,climb_Verb,climb,climb_Verb_climbing
stuck,Adj,stuck,13,0.92,,,stuck_Adj,stuck,stuck_Adj_stuck
rumour,NoC,rumours,13,0.92,,,rumour_NoC,rumour,rumour_NoC_rumours
sphere,NoC,sphere,13,0.9,,,sphere_NoC,sphere,sphere_NoC_sphere
carrier,NoC,carrier,13,0.85,,,carrier_NoC,carrier,carrier_NoC_carrier
distinguished,Adj,distinguished,13,0.93,,,distinguished_Adj,distinguished,distinguished_Adj_distinguished
forth,Adv,forth,13,0.93,,,forth_Adv,forth,forth_Adv_forth
Les,NoP,Les,13,0.86,,,Les_NoP,Les,Les_NoP_Les
embarrassment,NoC,embarrassment,13,0.93,,,embarrassment_NoC,embarrassment,embarrassment_NoC_embarrassment
feedback,NoC,feedback,13,0.88,,,feedback_NoC,feedback,feedback_NoC_feedback
Willie,NoP,Willie,13,0.53,,,Willie_NoP,Willie,Willie_NoP_Willie
Cornwall,NoP,Cornwall,13,0.89,,,Cornwall_NoP,Cornwall,Cornwall_NoP_Cornwall
islamic,Adj,islamic,13,0.73,,,islamic_Adj,islamic,islamic_Adj_islamic
unpleasant,Adj,unpleasant,13,0.93,,,unpleasant_Adj,unpleasant,unpleasant_Adj_unpleasant
Preston,NoP,Preston,13,0.6,,,Preston_NoP,Preston,Preston_NoP_Preston
make-up,NoC,make-up,13,0.91,,,make-up_NoC,make-up,make-up_NoC_make-up
dance,Verb,dancing,13,0.91,,,dance_Verb,dance,dance_Verb_dancing
rally,NoC,rally,13,0.82,,,rally_NoC,rally,rally_NoC_rally
look,NoC,looks,13,0.91,7,14,look_NoC,look,look_NoC_looks
invisible,Adj,invisible,13,0.93,,,invisible_Adj,invisible,invisible_Adj_invisible
pole,NoC,poles,13,0.78,,,pole_NoC,pole,pole_NoC_poles
exploitation,NoC,exploitation,13,0.9,,,exploitation_NoC,exploitation,exploitation_NoC_exploitation
st,NoC,st,13,0.89,,,st_NoC,st,st_NoC_st
Barnes,NoP,Barnes,13,0.8,,,Barnes_NoP,Barnes,Barnes_NoP_Barnes
fund,Verb,funded,13,0.91,,,fund_Verb,fund,fund_Verb_funded
privatisation,NoC,privatisation,13,0.81,,,privatisation_NoC,privatisation,privatisation_NoC_privatisation
worship,NoC,worship,13,0.82,,,worship_NoC,worship,worship_NoC_worship
Don,NoP,Don,13,0.9,,,Don_NoP,Don,Don_NoP_Don
Land,NoP,Land,13,0.78,,,Land_NoP,Land,Land_NoP_Land
analyse,Verb,analyse,13,0.89,,,analyse_Verb,analyse,analyse_Verb_analyse
offer,NoC,offers,13,0.91,,,offer_NoC,offer,offer_NoC_offers
brush,NoC,brush,13,0.91,,,brush_NoC,brush,brush_NoC_brush
Devon,NoP,Devon,13,0.88,,,Devon_NoP,Devon,Devon_NoP_Devon
sustain,Verb,sustain,13,0.93,,,sustain_Verb,sustain,sustain_Verb_sustain
bloke,NoC,bloke,13,0.77,,,bloke_NoC,bloke,bloke_NoC_bloke
semantic,Adj,semantic,13,0.7,,,semantic_Adj,semantic,semantic_Adj_semantic
eating,NoC,eating,13,0.9,,,eating_NoC,eating,eating_NoC_eating
stranger,NoC,stranger,13,0.89,,,stranger_NoC,stranger,stranger_NoC_stranger
explicitly,Adv,explicitly,13,0.89,,,explicitly_Adv,explicitly,explicitly_Adv_explicitly
grant,Verb,grant,13,0.9,,,grant_Verb,grant,grant_Verb_grant
39,Num,39,13,0.9,,,39_Num,39,39_Num_39
organ,NoC,organ,13,0.91,,,organ_NoC,organ,organ_NoC_organ
noble,Adj,noble,13,0.85,,,noble_Adj,noble,noble_Adj_noble
jet,NoC,jet,13,0.89,,,jet_NoC,jet,jet_NoC_jet
as usual,Adv,as usual,13,0.92,,,as usual_Adv,as usual,as usual_Adv_as usual
prospective,Adj,prospective,13,0.9,,,prospective_Adj,prospective,prospective_Adj_prospective
ridge,NoC,ridge,13,0.85,,,ridge_NoC,ridge,ridge_NoC_ridge
russian,NoC,russians,13,0.88,,,russian_NoC,russian,russian_NoC_russians
Sophie,NoP,Sophie,13,0.55,,,Sophie_NoP,Sophie,Sophie_NoP_Sophie
