

GCT-PH1: Population, Housing Units, Area, and Density:  2000
Data Set: Census 2000 Summary File 1 (SF 1) 100-Percent Data
Geographic Area: United States -- County by State, and for Puerto Rico
"NOTE:  For information on confidentiality protection, nonsampling error, definitions, and count corrections see http://factfinder.census.gov/home/en/datanotes/expsf1u.htm.
 
"
"Geographic area","
Population","
Housing
 units","
Area in square miles",,,"
Density per square
mile of land area",
,,,"
Total
area","
Water
area","
Land
area","
Population","
Housing
 units"
" "," "," "," "," "," "," "," "
"Sedgwick County","2,747","1,387","549.60","1.36","548.24","5.0","2.5"
"Summit County","23,548","24,201","619.25","11.09","608.16","38.7","39.8"
"Teller County","20,555","10,362","558.96","1.89","557.06","36.9","18.6"
"Washington County","4,926","2,307","2,524.12","3.13","2,520.98","2.0","0.9"
"Weld County","180,936","66,194","4,021.56","29.11","3,992.45","45.3","16.6"
"Yuma County","9,841","4,295","2,369.10","3.30","2,365.79","4.2","1.8"
" "," "," "," "," "," "," "," "
"Connecticut","3,405,565","1,385,975","5,543.33","698.53","4,844.80","702.9","286.1"
"Fairfield County","882,567","339,466","836.96","211.15","625.80","1,410.3","542.4"
"Hartford County","857,183","353,022","750.57","15.13","735.44","1,165.5","480.0"
"Litchfield County","182,193","79,267","944.57","24.65","919.92","198.1","86.2"
"Middlesex County","155,071","67,285","439.07","69.81","369.26","419.9","182.2"
"New Haven County","824,008","340,732","862.02","256.38","605.64","1,360.6","562.6"
"New London County","259,088","110,674","771.66","105.75","665.91","389.1","166.2"
"Tolland County","136,364","51,570","417.01","6.94","410.07","332.5","125.8"
"Windham County","109,091","43,959","521.47","8.71","512.75","212.8","85.7"
" "," "," "," "," "," "," "," "
"Delaware","783,600","343,072","2,489.27","535.71","1,953.56","401.1","175.6"
"Kent County","126,697","50,481","800.12","210.40","589.72","214.8","85.6"
"New Castle County","500,265","199,521","493.51","67.24","426.27","1,173.6","468.1"
"Sussex County","156,638","93,070","1,195.65","258.07","937.58","167.1","99.3"
" "," "," "," "," "," "," "," "
"District of Columbia","572,059","274,845","68.34","6.94","61.40","9,316.4","4,476.1"
"District of Columbia","572,059","274,845","68.34","6.94","61.40","9,316.4","4,476.1"
" "," "," "," "," "," "," "," "
"Florida","15,982,378","7,302,947","65,754.59","11,827.77","53,926.82","296.4","135.4"
"Alachua County","217,955","95,113","969.12","94.88","874.25","249.3","108.8"
"Baker County","22,259","7,592","588.89","3.67","585.21","38.0","13.0"
"Bay County","148,217","78,435","1,033.27","269.60","763.68","194.1","102.7"
"Bradford County","26,088","9,605","300.04","6.91","293.13","89.0","32.8"
"Brevard County","476,230","222,072","1,556.95","538.76","1,018.19","467.7","218.1"
"Broward County","1,623,018","741,043","1,319.63","114.24","1,205.40","1,346.5","614.8"
"Calhoun County","13,017","5,250","574.34","7.03","567.31","22.9","9.3"
"Charlotte County","141,627","79,758","859.12","165.51","693.60","204.2","115.0"
"Citrus County","118,085","62,204","773.15","189.34","583.81","202.3","106.5"
"Clay County","140,814","53,748","643.69","42.59","601.11","234.3","89.4"
"Collier County","251,377","144,536","2,304.93","279.59","2,025.34","124.1","71.4"
"Columbia County","56,513","23,579","801.04","3.99","797.05","70.9","29.6"
"DeSoto County","32,209","13,608","639.50","2.23","637.27","50.5","21.4"
"Dixie County","13,827","7,362","863.66","159.65","704.01","19.6","10.5"
"Duval County","778,879","329,778","918.24","144.57","773.67","1,006.7","426.3"
"Escambia County","294,410","124,647","875.57","213.21","662.35","444.5","188.2"
"Flagler County","49,832","24,452","570.76","85.77","485.00","102.7","50.4"
"Franklin County","11,057","7,180","1,037.48","493.14","544.34","20.3","13.2"
"Gadsden County","45,087","17,703","528.49","12.35","516.13","87.4","34.3"
"Gilchrist County","14,437","5,906","355.47","6.58","348.89","41.4","16.9"
"Glades County","10,576","5,790","986.43","212.79","773.64","13.7","7.5"
"Gulf County","13,332","7,587","744.59","190.00","554.60","24.0","13.7"
"Hamilton County","13,327","4,966","519.31","4.45","514.86","25.9","9.6"
"Hardee County","26,938","9,820","638.33","1.03","637.30","42.3","15.4"
"Hendry County","36,210","12,294","1,189.79","37.26","1,152.53","31.4","10.7"
