===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
I-43	Wisconsin	191.55	191.55	-	63.00	-	Beloit, Delavan, Milwaukee, Sheboygan, Manitowoc, Green Bay
I-44	Texas	14.77	14.77	-	14.77	-	Wichita Falls
Oklahoma	328.53	324.16	-	114.76	4.37 Mi on I-35	Lawton, Chickasha, Oklahoma City, Tulsa, Vinita, Miami	
Missouri	290.49	290.49	-	-	-	Joplin, Springfield, Lebanon, Rolla, Sullivan, Saint Louis	
TOTAL	633.79	629.42	-	129.53	4.37		
I-45	Texas	284.91	284.91	-	-	-	Galveston, Texas City, Houston, Huntsville, Corsicana, Ennis, Dallas
I-49	Louisiana	208.25	208.25	153.18	19.55	-	LaFayette, Opelousas, Alexandria, Natchitoches, Shreveport
I-55	Louisiana	65.81	65.81	-	-	-	Hammond
Mississippi	290.41	290.41	-	-	-	McComb, Brookhaven, Jackson, Canton, Winona, Southaven	
Tennessee	12.28	12.28	-	-	-	Memphis	
Arkansas	72.22	70.00	-	-	2.22 Mi on I-40	West Memphis, Blytheville	
Missouri	210.45	209.45	-	-	1.00 Mi on I-44	Sikeston, Cape Girardeau, Perryville, St.Louis	
Illinois	313.08	294.38	-	-	18.70 Mi on I-70	East Saint Louis, Edwardsville, Litchfield, Springfield, Lincoln, Bloomington, Pontiac, Joliet, Chicago	
TOTAL	964.25	942.33	-		21.92		
I-57	Missouri	21.96	21.96	-	-	-	Sikeston, Charleston
Illinois	364.16	358.57	-	-	5.59 Mi on I-70	Cairo, Marion, Mt.Vernon, Salem, Effingham, Matton, Champaign-Urbana, Rantoul, Kankakee, Chicago	
TOTAL	386.12	380.53	-	-	5.59		
I-59	Louisiana	11.48	11.48	-	-	-	Slidell
Mississippi	171.72	171.72	-	-	-	Picayune, Hattiesburg, Laurel, Meridian	
Alabama	241.36	241.36	-	-	-	Tuscaloosa, Bessemer, Birmingham, Gadsden, Fort Payne	
Georgia	20.67	20.67	-	-	-	-	
TOTAL	445.23	445.23					
I-64	Missouri	14.69	14.69	-	14.69	-	Saint Louis
Illinois	128.12	123.98	-	-	4.14 Mi on I-57	East Saint Louis, Mount Vernon	
Indiana	123.33	123.33	-	-	-	Evansville, New Albany	
