===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
9 Routes	782.10	762.40	0.00	21.20	0.00	19.70		
Louisiana	I-10	274.42	274.42	-	-	-	-	-
I-12	85.59	85.59	-	-	-	-	-	
I-20	189.87	189.87	-	-	-	-	-	
I-49	208.25	208.25	153.18	19.55	-	-	-	
I-55	65.81	65.81	-	-	-	-	-	
I-59	11.48	11.48	-	-	-	-	-	
I-110	8.89	8.89	-	-	-	-	-	
I-210	12.40	12.40	-	-	-	-	-	
I-220	17.62	17.62	-	-	-	-	-	
I-310	11.25	11.25	-	-	-	-	-	
I-510	3.04	3.04	-	-	-	-	-	
I-610	4.52	4.52	-	-	-	-	-	
I-910	9.70	9.70	-	-	9.70	-	-	
13 Routes	902.84	902.84	153.18	19.55	9.70	0.00		
Maine	I-95	298.51	298.51	-	-	-	-	-
I-195	1.55	1.55	-	-	-	-	-	
I-295	11.02	11.02	-	-	-	-	-	
I-395	4.99	4.99	-	-	-	-	-	
I-495	50.47	50.47	-	50.47	-	-	-	
5 Routes	366.54	366.54	0.00	50.47	0.00	0.00		
Maryland	I-68	81.09	81.09	-	81.09	-	-	-
I-70	93.62	93.62	-	-	-	-	-	
I-81	12.08	12.08	-	-	-	-	-	
I-83	34.50	34.50	-	-	-	-	-	
I-95	110.01	110.01	-	-	-	-	-	
I-97	17.62	17.62	14.90	-	-	-	-	
I-195	4.71	4.71	2.20	1.40	-	-	-	
I-270	34.40	34.40	-	-	-	-	-	
I-295	0.80	0.80	-	-	-	-	-	
I-370	3.13	3.13	1.18	-	-	-	-	
I-395	1.98	1.98	-	-	-	-	-	
I-495	16.13	16.13	-	-	-	-	-	
I-595	19.97	19.97	19.31	-	-	-	-	
I-695	30.57	30.57	-	2.20	-	-	-	
I-795	8.99	8.99	-	5.47	-	-	-	
I-895	11.44	11.44	-	-	-	-	-	
16 Routes	481.04	481.04	37.59	90.16	0.00	0.00		
Massachusetts	I-84	8.15	8.15	-	-	-	-	-
I-90	135.72	135.72	-	2.90	-	-	-	
I-91	54.99	54.99	-	-	-	-	-	
I-93	47.07	47.07	-	14.10	-	-	-	
I-95	91.95	91.95	-	37.54	-	-	-	
I-190	19.26	19.26	-	-	-	-	-	
I-195	40.73	40.73	-	14.28	-	-	-	
I-290	20.16	20.16	-	-	-	-	-	
I-291	5.44	5.44	-	-	-	-	-	
I-295	4.23	4.23	-	-	-	-	-	
I-391	4.46	4.46	-	-	-	-	-	
I-395	11.91	11.91	-	11.91	-	-	-	
I-495	121.56	121.56	12.90	18.50	-	-	-	
13 Routes	565.63	565.63	12.90	99.23	0.00	0.00		
Michigan	I-69	198.51	193.31	-	66.80	-	5.20	I-96
I-75	395.54	395.54	-	-	-	-	-	
I-94	275.49	275.49	-	-	-	-	-	
I-96	192.06	192.06	-	-	-	-	-	
I-194	3.38	3.38	-	-	-	-	-	
I-196	80.65	80.65	-	-	-	-	-	
I-275	29.97	29.97	-	-	-	-	-	
I-296	3.43	3.43	-	-	-	-	-	
I-375	1.06	1.06	-	-	-	-	-	
I-475	16.99	16.99	-	-	-	-	-	
I-496	11.78	11.78	-	-	-	-	-	
I-675	7.72	7.72	-	-	-	-	-	
I-696	29.39	29.39	-	-	-	-	-	
13 Routes	1,245.97	1,240.77	0.00	66.80	0.00	5.20		
Minnesota	I-35	259.69	220.46	-	-	-	39.23	I-35E
I-35E	39.34	39.34	-	-	-	-	-	
I-35W	41.78	41.78	-	-	-	-	-	
I-90	275.70	275.70	-	-	-	-	-	
I-94	259.49	259.22	-	-	-	0.27	I-35E	
I-394	9.75	9.75	-	-	-	-	-	
I-494	42.94	42.94	-	-	-	-	-	
I-535	1.57	1.57	-	-	-	-	-	
I-694	22.62	21.97	-	-	-	0.65	I-35E	
9 Routes	952.88	912.73	0.00	0.00	0.00	40.15		
Mississippi	I-10	77.19	77.19	-	-	-	-	-
I-20	154.61	129.41	-	-	-	25.20	I-55/59	
I-55	290.41	290.41	-	-	-	-	-	
I-59	171.72	171.72	-	-	-	-	-	
I-110	4.10	4.10	-	-	-	-	-	
I-220	12.01	12.01	-	-	-	-	-	
6 Routes	710.04	684.84	0.00	0.00	0.00	25.20		
Missouri	I-29	130.72	125.22	-	-	-	5.50	I-35/40
I-35	114.74	113.74	-	-	-	1.00	I-70	
I-44	290.49	290.49	-	-	-	-	-	
I-55	210.45	209.45	-	-	-	1.00	I-44	
I-57	21.96	21.96	-	-	-	-	-	
I-64	14.69	14.69	-	14.69	-	-	-	
I-70	251.66	251.66	-	-	-	-	-	
I-72	2.04	2.04	-	2.04	-	-	-	
I-155	10.84	10.84	-	-	-	-	-	
I-170	11.17	11.17	-	4.29	-	-	-	
I-229	14.97	14.97	-	-	-	-	-	
I-255	3.77	3.77	-	-	-	-	-	
I-270	35.62	35.62	-	-	-	-	-	
I-435	52.78	52.78	-	-	-	-	-	
I-470	16.72	16.72	-	-	-	-	-	
I-635	3.77	3.77	-	-	-	-	-	
I-670	1.17	1.17	-	-	-	-	-	
17 Routes	1,187.56	1,180.06	0.00	21.02	0.00	7.50		
Montana	I-15	396.03	396.03	-	-	-	-	-
I-90	551.68	544.03	-	-	-	7.65	I-15	
I-94	249.15	249.15	-	-	-	-	-	
I-115	1.19	1.19	-	-	-	-	-	
I-315	0.83	0.83	-	-	-	-	-	
5 Routes	1,198.88	1,191.23	0.00	0.00	0.00	7.65		
Nebraska	I-76	2.48	2.48	-	-	-	-	-
I-80	455.32	455.32	-	-	-	-	-	
I-129	3.21	3.21	-	-	-	-	-	
I-180	3.18	3.18	-	-	-	-	-	
I-480	4.15	4.15	-	-	-	-	-	
I-680	13.32	13.32	-	-	-	-	-	
6 Routes	481.66	481.66	0	0	0	0		
Nevada	I-15	123.77	123.77	-	-	-	-	-
I-80	410.67	410.67	-	-	-	-	-	
I-515	20.54	20.54	-	14.90	-	-	-	
I-580	4.99	4.99	-	1.21	-	-	-	
4 Routes	559.97	559.97	0	16.11	0	0		
New Hampshire	I-89	60.87	60.87	-	-	-	-	-
I-93	131.78	131.78	-	-	-	-	-	
I-95	16.11	16.11	-	-	-	-	-	
I-293	11.18	11.18	-	5.68	-	-	-	
I-393	4.60	4.60	-	-	-	-	-	
5 Routes	224.54	224.54	0.00	5.68	0.00	0.00		
New Jersey	I-76	3.04	3.04	-	-	-	-	-
I-78	67.83	67.83	-	-	-	-	-	
I-80	68.35	68.35	-	-	-	-	-	
I-95	97.76	97.76	-	-	-	-	-	
I-195	34.17	34.17	27.30	-	-	-	-	
I-278	2.00	2.00	-	-	-	-	-	
I-280	17.85	17.85	-	-	-	-	-	
I-287	67.54	67.54	-	-	-	-	-	
I-295	68.06	68.06	-	-	-	-	-	
I-676	4.75	4.75	-	-	-	-	-	
10 Routes	431.36	431.36	27.30	0.00	0.00	0.00		
New Mexico	I-10	164.27	164.27	-	-	-	-	-
I-25	462.12	462.12	-	-	-	-	-	
I-40	373.51	373.51	-	-	-	-	-	
3 Routes	999.90	999.90	0.00	0.00	0.00	0.00		
New York	I-78	0.50	0.50	-	-	-	-	-
I-81	183.60	183.60	-	-	-	-	-	
I-84	71.79	71.79	-	-	-	-	-	
I-86	176.57	176.57	-	-	176.57	-	-	
I-87	333.49	333.49	-	29.80	-	-	-	
I-88	117.75	117.75	-	-	-	-	-	
I-90	385.48	385.48	-	-	-	-	-	
I-95	23.50	23.50	-	-	-	-	-	
I-190	28.34	28.34	-	-	-	-	-	
I-278	33.62	33.62	-	-	-	-	-	
I-287	31.18	11.98	-	-	-	19.20	I-87	
I-290	9.80	9.80	-	-	-	-	-	
I-295	9.10	9.10	-	-	-	-	-	
I-390	76.06	76.06	60.50	-	-	-	-	
I-478	2.14	2.14	-	2.14	-	-	-	
I-481	15.04	15.04	-	-	-	-	-	
I-490	37.40	37.40	-	-	-	-	-	
I-495	66.38	66.38	-	62.70	-	-	-	
I-587	1.21	1.21	-	-	-	-	-	
I-590	5.31	5.31	5.31	-	-	-	-	
I-678	14.33	14.33	-	7.80	-	-	-	
I-684	27.06	27.06	-	-	-	-	-	
I-690	14.19	14.19	-	-	-	-	-	
I-787	10.16	10.16	-	-	-	-	-	
I-790	2.41	2.41	-	-	-	-	-	
I-878	0.70	0.70	-	-	-	-	-	
I-890	9.35	9.35	-	-	-	-	-	
I-895	1.12	1.12	-	-	-	-	-	
I-990	6.35	6.35	-	2.04	-	-	-	
29 Routes	1,693.93	1,674.73	65.81	104.48	176.57	19.20		
North Carolina	I-26	39.92	39.92	-	-	-	-	-
I-40	419.40	419.40	-	91.40	-	-	-	
I-73	12.27	12.27	-	-	12.27	-	-	
I-74	12.10	12.10	-	-	12.10	-	-	
I-77	102.31	102.31	-	5.80	-	-	-	
I-85	233.93	195.42	-	-	-	38.51	I-40	
I-95	181.71	181.71	-	-	-	-	-	
I-240	9.14	9.14	-	6.92	-	-	-	
I-277	4.41	4.41	-	1.72	-	-	-	
I-440	16.40	16.40	-	16.40	-	-	-	
I-485	16.70	16.70	-	16.70	-	-	-	
I-540	5.00	5.00	-	5.00	-	-	-	
12 Routes	1,053.29	1,014.78	0.00	143.94	24.37	38.51		
North Dakota	I-29	217.54	217.54	-	-	-	-	-
I-94	352.39	352.39	-	-	-	-	-	
I-194	1.20	1.20	-	-	-	-	-	
3 Routes	571.13	571.13	0.00	0.00	0.00	0.00		
Ohio	I-70	225.60	225.60	-	-	-	-	-
I-71	248.15	246.19	-	-	-	1.96	I-75/70	
I-74	19.47	19.47	-	-	-	-	-	
I-75	211.30	211.30	-	-	-	-	-	
I-76	81.65	81.65	-	-	-	-	-	
I-77	160.13	160.13	-	-	-	-	-	
I-80	237.48	237.48	-	35.00	-	-	-	
I-90	244.75	101.95	-	-	-	142.80	I-80	
I-270	54.97	54.97	-	-	-	-	-	
I-271	46.06	40.22	-	-	-	5.84	I-480	
I-275	55.97	52.52	-	-	-	3.45	I-74	
I-277	4.14	4.14	-	-	-	-	-	
I-280	12.41	12.41	-	-	-	-	-	
I-470	6.69	6.69	-	-	-	-	-	
I-471	0.73	0.73	-	-	-	-	-	
I-475	20.37	20.37	-	-	-	-	-	
I-480	41.77	41.77	-	-	-	-	-	
I-490	2.43	2.43	-	-	-	-	-	
I-670	9.37	9.37	-	-	-	-	-	
I-675	26.53	26.53	-	-	-	-	-	
I-680	16.43	16.43	-	-	-	-	-	
21 Routes	1,726.40	1,572.35	0.00	35.00	0.00	154.05		
Oklahoma	I-35	235.96	235.96	-	-	-	-	-
I-40	331.03	329.50	-	-	-	1.53	I-35	
I-44	328.53	324.16	-	114.76	-	4.37	I-35	
I-235	5.36	5.36	-	1.54	-	-	-	
I-240	16.22	16.22	-	4.35	-	-	-	
I-244	15.75	15.75	-	-	-	-	-	
I-444	2.51	2.51	-	-	-	-	-	
7 Routes	935.36	929.46	0.00	120.65	0.00	5.90		
Oregon	I-5	308.14	308.14	-	-	-	-	-
I-82	11.01	11.01	-	-	-	-	-	
I-84	375.17	375.17	-	6.89	-	-	-	
I-105	3.49	3.49	-	-	-	-	-	
I-205	26.07	26.07	-	-	-	-	-	
I-405	3.53	3.53	-	-	-	-	-	
6 Routes	727.41	727.41	0.00	6.89	0.00	0.00		
Pennsylvania	I-70	167.92	80.70	-	-	-	87.22	I-76
I-76	349.67	349.67	-	-	-	-	-	
I-78	75.23	75.23	-	-	-	-	-	
I-79	182.72	179.17	-	-	-	3.55	I-70	
I-80	311.07	311.07	-	-	-	-	-	
I-81	232.63	232.63	-	-	-	-	-	
I-83	50.80	50.80	-	-	-	-	-	
I-84	54.55	54.55	-	-	-	-	-	
I-86	6.99	6.99	-	-	6.99	-	-	
I-90	46.40	46.40	-	-	-	-	-	
I-95	51.08	51.08	-	-	-	-	-	
I-99	53.00	53.00	-	-	53.00	-	-	
I-176	11.33	11.33	-	-	-	-	-	
I-180	28.85	28.85	-	28.85	-	-	-	
I-276	32.65	32.65	-	-	-	-	-	
I-279	19.52	19.52	-	-	-	-	-	
I-283	2.91	2.91	-	-	-	-	-	
I-376	14.70	14.70	-	-	-	-	-	
I-380	24.76	24.76	-	-	-	-	-	
I-476	129.61	129.61	-	110.00	-	-	-	
I-579	1.57	1.57	-	-	-	-	-	
I-676	2.15	2.15	-	-	-	-	-	
22 Routes	1,850.11	1,759.34	0.00	138.85	59.99	90.77		
Puerto Rico	PRI-1	71.08	71.08	-	71.08	-	-	-
PRI-2	138.13	138.13	-	138.13	-	-	-	
PRI-3	40.56	40.56	-	40.56	-	-	-	
3 Routes	249.77	249.77	0.00	249.77	0.00	0.00		
Rhode Island	I-95	42.36	42.36	-	-	-	-	-
I-195	3.82	3.82	-	-	-	-	-	
I-295	22.35	22.35	-	-	-	-	-	
3 Routes	68.53	68.53	0.00	0.00	0.00	0.00		
South Carolina	I-20	141.51	141.51	-	-	-	-	-
I-26	220.95	220.95	-	-	-	-	-	
I-77	91.05	91.05	-	9.50	-	-	-	
I-85	106.28	106.28	-	-	-	-	-	
I-95	198.76	198.76	-	-	-	-	-	
I-126	3.68	3.68	-	-	-	-	-	
I-185	17.70	17.70	-	14.50	-	-	-	
I-385	42.16	42.16	-	36.00	-	-	-	
I-526	19.26	19.26	-	11.20	-	-	-	
I-585	2.25	2.25	-	-	-	-	-	
10 Routes	846.58	846.58	0.00	71.20	0.00	0.00		
South Dakota	I-29	252.50	252.50	-	-	-	-	-
I-90	412.76	412.76	-	-	-	-	-	
I-190	1.72	1.72	-	-	-	-	-	
I-229	11.33	11.33	-	-	-	-	-	
4 Routes	678.31	678.31	0.00	0.00	0.00	0.00		
Tennessee	I-24	180.16	177.96	-	-	-	2.20	I-40/65
I-40	455.28	455.28	-	-	-	-	-	
I-55	12.28	12.28	-	-	-	-	-	
I-65	121.71	120.71	-	-	-	1.00	I-40	
I-75	161.86	142.26	-	-	-	19.60	I-40	
I-81	75.66	75.66	-	-	-	-	-	
I-124	1.97	1.97	-	-	-	-	-	
I-140	11.17	11.17	-	11.17	-	-	-	
I-155	15.93	15.93	-	-	-	-	-	
I-181	23.85	23.85	-	23.85	-	-	-	
I-240	19.27	19.27	-	-	-	-	-	
I-275	2.98	2.98	-	-	-	-	-	
I-440	7.64	7.64	-	-	-	-	-	
I-640	7.03	7.03	-	-	-	-	-	
14 Routes	1,096.79	1,073.99	0.00	35.02	0.00	22.80		
Texas	I-10	881.00	878.61	-	-	-	2.39	I-35
I-20	636.08	636.08	-	2.00	-	-	-	
I-27	124.13	124.13	-	12.90	-	-	-	
I-30	223.74	223.74	-	29.93	-	-	-	
I-35	504.15	407.20	-	-	-	96.95	I-35E	
I-35E	96.76	96.76	-	-	-	-	-	
I-35W	85.20	85.20	-	-	-	-	-	
I-37	143.00	143.00	-	-	-	-	-	
I-40	177.10	177.10	-	-	-	-	-	
I-44	14.77	14.77	-	14.77	-	-	-	
I-45	284.91	284.91	-	-	-	-	-	
I-110	0.92	0.92	-	-	-	-	-	
I-345	1.40	1.40	-	-	-	-	-	
I-410	49.49	49.49	-	9.93	-	-	-	
I-610	37.97	37.97	-	-	-	-	-	
I-635	37.00	37.00	-	-	-	-	-	
I-820	35.17	35.17	-	-	-	-	-	
17 Routes	3,332.79	3,233.45	0.00	69.53	0.00	99.34		
Utah	I-15	401.07	401.07	-	-	-	-	-
I-70	232.15	232.15	-	-	-	-	-	
I-80	196.34	193.03	-	-	-	3.31	I-15	
I-84	118.71	82.73	-	-	-	35.98	I-15	
I-215	29.02	29.02	-	-	-	-	-	
5 Routes	977.29	938.00	0.00	0.00	0.00	39.29		
Vermont	I-89	130.25	130.25	-	-	-	-	-
I-91	177.38	177.38	-	-	-	-	-	
I-93	11.10	11.10	-	-	-	-	-	
I-189	1.49	1.49	-	-	-	-	-	
4 Routes	320.22	320.22	0.00	0.00	0.00	0.00		
Virginia	I-64	297.62	267.22	-	-	-	30.40	I-81
I-66	74.80	74.80	-	-	-	-	-	
I-77	69.40	60.60	-	-	-	8.80	I-81	
I-81	324.92	324.92	-	-	-	-	-	
I-85	68.64	68.64	-	-	-	-	-	
I-95	178.73	178.73	-	24.08	-	-	-	
I-195	3.24	3.24	-	-	-	-	-	
I-264	25.07	25.07	-	12.00	-	-	-	
I-295	52.56	52.56	-	-	-	-	-	
I-381	1.67	1.67	-	-	-	-	-	
I-395	9.91	9.91	-	-	-	-	-	
I-464	4.71	4.71	-	-	-	-	-	
I-495	15.28	15.28	-	-	-	-	-	
I-564	3.03	3.03	-	-	-	-	-	
I-581	6.64	6.64	-	-	-	-	-	
I-664	20.21	20.21	-	9.20	-	-	-	
16 Routes	1,156.43	1,117.23	0.00	45.28	0.00	39.20		
Washington	I-5	276.62	276.62	-	-	-	-	-
I-82	132.57	132.57	-	-	-	-	-	
I-90	296.92	296.92	-	-	-	-	-	
I-182	15.19	15.19	-	-	-	-	-	
I-205	10.57	10.57	-	-	-	-	-	
I-405	30.30	30.30	-	-	-	-	-	
I-705	1.50	1.50	-	-	-	-	-	
7 Routes	763.67	763.67	0.00	0.00	0.00	0.00		
West Virginia	I-64	188.75	124.87	-	-	-	63.88	I-77
I-68	32.06	32.06	-	32.06	-	-	-	
I-70	14.45	14.45	-	-	-	-	-	
I-77	187.21	187.21	-	-	-	-	-	
I-79	160.52	160.52	-	-	-	-	-	
I-81	26.00	26.00	-	-	-	-	-	
I-470	3.94	3.94	-	-	-	-	-	
7 Routes	612.93	549.05	0.00	32.06	0.00	63.88		
Wisconsin	I-39	182.72	182.72	-	104.00	-	-	-
I-43	191.55	191.55	-	63.00	-	-	-	
I-90	108.61	108.61	-	-	-	-	-	
I-94	341.02	249.26	-	-	-	91.76	I-90	
I-535	1.21	1.21	-	-	-	-	-	
I-794	3.75	3.75	-	-	-	-	-	
I-894	4.70	4.70	-	-	-	-	-	
7 Routes	833.56	741.80	0.00	167.00	0.00	91.76		
Wyoming	I-25	300.95	300.95	-	-	-	-	-
I-80	402.76	402.76	-	-	-	-	-	
I-90	208.80	208.80	-	-	-	-	-	
I-180	1.09	1.09	-	-	-	-	-	
4 Routes	913.60	913.60	0.00	0.00	0.00	0.00		


===========================================================================
FHWA Route Log and Finder List
Table 4: Major Cities Served by Interstate Routes (1990 Census Populations greater than 50, 000)

State	Urban Area	Interstate Routes
Alabama	Anniston	I-20
Auburn-Opelika	I-85	
Birmingham	I-20, I-59, I-65, I-459	
Decatur	I-65	
Gadsden	I-59, I-759	
Huntsville	I-65, I-565	
Mobile	I-10, I-65, I-165	
Montgomery	I-65, I-85	
Tuscaloosa	I-20, I-59, I-359	
Alaska	Anchorage	A-1, A-3, A-4
Fairbanks	A-2, A-4	
Arizona	Phoenix	I-10, I-17
Tucson	I-10, I-19	
Yuma (AZ.-CA.)	I-8	
Arkansas	Fort Smith	I-40, I-540
Little Rock (N. Little Rock)	I-30, I-40, I-430, I-440, I-630	
Texarkana	I-30	
West Memphis	See Memphis, TN.	
California	Fairfield	I-80
Los Angeles-Long Beach	I-5, I-10, I-105, I-110, I-210, I-405, I-605, I-710	
Redding	I-5	
Sacramento	I-5, I-80, I-305	
San Bernardino-Riverside	I-10, I-15, I-215	
San Diego	I-5, I-8, I-15, I-805	
San Francisco-Oakland	I-80, I-238, I-280, I-380, I-580, I-680, I-880, I-980	
San Jose	I-280, I-680, I-880	
Stockton	I-5	
Yuma (CA.-AZ.)	See Yuma, AZ.	
Colorado	Colorado Springs	I-25
Denver	I-25, I-70, I-76, I-225, I-270	
Fort Collins	I-25	
Grand Junction	I-70	
Pueblo	I-25	
Connecticut	Bridgeport	I-95
Danbury	I-84	
Hartford	I-84, I-91, I-291, I-384	
Meriden	I-91, I-691	
New Britain	I-84	
New Haven	I-91, I-95	
New London-Norwich	I-95, I-395	
Norwalk	I-95	
Stamford	I-95	
Waterbury	I-84	
Delaware	Wilmington	I-95, I-295, I-495
District of Columbia	Washington, D.C. (VA.-MD.)	I-66, I-95, I-270, I-295, I-395, I-495, I-595, I-695
Florida	Daytona Beach	I-4, I-95
Fort Myers	I-75	
Fort Pierce	I-95	
Ft.Lauderdale-Hollywood	I-95, I-75, I-595	
Gainesville	I-75	
Jacksonville	I-10, I-95, I-295	
Lakeland	I-4	
Melbourne-Cocoa Beach	I-95	
Miami	I-75, I-95, I-195, I-395	
Naples	I-75	
Ocala	I-75	
Orlando	I-4	
Pensacola	I-10, I-110	
Sarasota-Bradenton	I-75, I-275	
St. Petersburg	I-175, I-275, I-375	
Tallahassee	I-10	
Tampa	I-4, I-75, I-275	
W. Palm Beach	I-95	
Georgia	Atlanta	I-20, I-75, I-85, I-285, I-575, I-675
Augusta-N. Augusta, S.C.	I-20, I-520	
Columbus	I-185	
Macon	I-16, I-75, I-475	
Savannah	I-16, I-95, I-516	
Hawaii	Honolulu	H-1, H-2, H-3H-201
Kailua-Kaneohe	H-3	
Idaho	Boise	I-84, I-184
Pocatello	I-15, I-86	
Illinois	Aurora	I-88
Bloomington-Normal	I-39, I-55, I-74	
Champaign-Urbana	I-57, I-72, I-74	
Chicago (N.W. Indiana) (Elgin, Joliet)	I-55, I-57, I-65, I-80, I-88, I-90, I-94, I-190, I-290, I-294, I-355	
Danville	I-74	
Decatur	I-72	
East St.Louis	See St. Louis, MO.	
Kankakee	I-57	
Peoria	I-74, I-155, I-474	
Rockford	I-39, I-90	
Rock Island-Moline	See Davenport, IA.	
Springfield	I-55, I-72	
Indiana	Anderson	I-69
Elkhart	I-80, I-90	
Evansville	I-164	
Fort Wayne	I-69	
Indianapolis	I-65, I-69, I-70, I-74, I-465	
Lafayette-W. Lafayette	I-65	
Northwestern Indiana	See Chicago, IL.	
South Bend	I-80, I-90	
Terre Haute	I-70	
Iowa	Cedar Rapids	I-380
Council Bluff	See Omaha, NE.	
Davenport-Rock Island- Moline	I-74, I-80, I-88, I-280	
Des Moines	I-35, I-80, I-235	
Iowa City	I-80, I-380	
Sioux City (IA.-NE.-SD.)	I-29, I-129	
Waterloo	I-380	
Kansas	Kansas City, KS.	See Kansas City, MO.
Lawrence	I-70	
Topeka	I-70, I-335, I-470	
Wichita	I-35, I-135, I-235	
Kentucky	Covington-Newport	See Cincinnati, OH.
Lexington	I-64, I-75	
Louisville (New Albany, IN.)	I-64, I-65, I-71, I-264, I-265	
Louisiana	Alexandria	I-49
Baton Rouge	I-10, I-12, I-110	
Lafayette	I-10, I-49	
Monroe	I-20	
New Orleans	I-10, I-310, I-510, I-610	
Shreveport	I-20, I-49, I-220	
Lake Charles	I-10, I-210	
Maine	Bangor	I-95, I-395
Lewiston-Auburn	I-495	
Portland	I-95, I-295, I-495	
Maryland	Annapolis	I-97, I-595
Baltimore	I-70 , I-83, I-95, I-97, I-195, I-395, I-695, I-795, I-895	
Hagerstown	I-70, I-81	
Washington Metro Area	See Washington, D.C.	
Massachusetts	Boston	I-90, I-93, I-95
Fall River	I-195	
Fitchburg-Leominster	I-190	
Lawrence-Haverhill	I-93, I-495	
Lowell	I-495	
New Bedford	I-195	
Springfield-Chicopee-Holyoke	I-90, I-91, I-291, I-391	
Worcester	I-90, I-190, I-290, I-395	
Michigan	Ann Arbor	I-94
Battle Creek	I-94, I-194	
Bay City	I-75	
Benton Harbor	I-94	
Detroit	I-75, I-94, I-96, I-295, I-375, I-696	
Flint	I-69, I-75, I-475	
Grand Rapids	I-96, I-196, I-296	
Jackson	I-94	
Kalamazoo	I-94	
Lansing	I-69, I-96, I-496	
Muskegon	I-96	
Port Huron	I-69, I-94	
Saginaw	I-75, I-675	
Minnesota	Duluth	I-35, I-535
Minneapolis-St.Paul	I-35, I-35E, I-35W, I-94, I-394, I-494, I-694	
Moorhead (Fargo, ND.)	See Fargo, ND.	
Mississippi	Biloxi-Gulfport	I-10, I-110
Hattiesburg	I-59	
Jackson	I-20, I-55, I-220	
Pascagoula	I-10	
Southaven (Memphis, TN.)	See Memphis, TN.	
Missouri	Columbia	I-70
Joplin	I-44	
Kansas City (MO.-KS.)	I-29, I-35, I-70, I-435, I-470, I-635, I-670	
Springfield	I-44	
St. Joseph	I-29, I-229	
St. Louis (East St. Louis)	I-44, I-55, I-64, I-70, I-170, I-255, I-270	
Montana	Billings	I-90, I-94
Great Falls	I-15, I-315	
Missoula	I-90	
Nebraska	Lincoln	I-80, I-180
Omaha (Council Bluffs, IA)	I-29, I-89, I-480, I-680	
Sioux City (IA.-NE.-SD.)	See Sioux City, IA.	
Nevada	Las Vegas	I-15, I-515
Reno	I-80, I-580	
New Hampshire	Manchester	I-93, I-293
Portsmouth	I-95	
New Jersey	Camden	See Philadelphia, PA.
Northeastern New Jersey	See New York, N.Y.	
Trenton	I-95, I-195, I-295	
New Mexico	Albuquerque	I-25, I-40
Las Cruces	I-10, I-25	
Santa Fe	I-25	
New York	Albany-Schenectady-Troy	I-87, I-88, I-90, I-787, I-890
Binghamton	I-81, I-88	
Buffalo	I-90, I-190, I-290, I-990	
Glens Falls	I-87	
New York (Northeastern N.J.)	I-78, I-80, I-84, I-87, I-95, I-195, I-278, I-280, I-287, I-295, I-478, I-495, I-678, I-684, I-878, I-895	
Newburgh	I-84, I-87	
Rochester	I-90, I-390, I-490, I-590	
Rome-Utica	I-90, I-790	
Syracuse	I-81, I-90, I-481, I-690	
North Carolina	Ashville	I-26, I-40, I-240
Burlington	I-40, I-85	
Charlotte	I-77, I-85, I-277	
Durham	I-40, I-85	
Fayetteville	I-95	
Gastonia	I-85	
Greensboro	I-40, I-85	
Hickory	I-40	
High Point	I-85	
Kannapolis-Concord	I-85	
Raleigh	I-40, I-440	
Wilmington	I-40	
Winston-Salem	I-40	
North Dakota	Bismarck	I-94, I-194
Fargo (Moorhead, MN.)	I-29, I-94	
Grand Forks	I-29	
Ohio	Akron	I-76, I-77, I-80, I-277
Canton	I-77	
Cincinnati (Covington, KY.)	I-71, I-74, I-75, I-275, I-471	
Cleveland	I-71, I-77, I-80, I-90, I-271, I-480, I-490	
Columbus	I-70, I-71, I-270, I-670	
Dayton	I-70, I-75, I-675	
Lima	I-75	
Lorain-Elyria	I-80, I-90, I-480	
Mansfield	I-71	
Middletown	I-75	
Springfield	I-70	
Toledo	I-75, I-80, I-90, I-280, I-475	
Wheeling (W.V.-OH.)	See Wheeling, W.V.	
Youngstown-Warren	I-76, I-80, I-680	
Oklahoma	Lawton	I-44
Oklahoma City	I-35, I-40, I-44, I-235, I-240	
Tulsa	I-44, I-244, I-444	
Oregon	Eugene	I-5, I-105
Medford	I-5	
Portland-Vancouver, WA.	I-5, I-84, I-205, I-405	
Salem	I-5	
Pennsylvania	Allentown-Bethlehem-Easton	I-78
Erie	I-79, I-90	
Harrisburg	I-76, I-81, I-83, I-283	
Philadelphia (Camden, NJ)	I-76, I-95, I-276, I-295, I-476, I-676	
Pittsburgh	I-76, I-79, I-279, I-376, I-579	
Reading	I-176	
Scranton-Wilkes Barre	I-81, I-84, I-380	
Sharon	I-80	
Williamsport	I-180	
York	I-83	
Puerto Rico	Arecibo	PRI-2
Caguas	PRI-1	
Mayaguez	PRI-2	
Ponce	PRI-1	
San Juan	PRI-1, PRI-2, PRI-3	
Rhode Island	Providence Metro. Area	I-95, I-195, I-295
South Carolina	Anderson	I-85
Charleston	I-26, I-526	
Columbia	I-20, I-26, I-77, I-126, I-326	
Florence	I-95	
Greenville	I-85, I-185, I-385	
N. Augusta	See Augusta, GA.	
Rock Hill	I-77	
Spartanburg	I-26, I-85, I-585	
South Dakota	Rapid City	I-90, I-190
Sioux City	See Sioux City, IA.	
Sioux Falls	I-29, I-90, I-229	
Tennessee	Bristol (TN.-VA.)	I-81, I-381
Chattanooga	I-24, I-75, I-124	
