
City  							Mileage		
Morgan, UT to Salt Lake City, UT		51
Morgantown, WV					1,864
Moroni, UT					188
Morristown, TN					1,831
Moscow, ID					595
Moses Lake, WA					642
Moses Lake, WA to Seattle, WA			180
Mt. Pleasant, UT				184
Mt. Vernon IL					1,405
Mt. Vernon, OH					1,692
Muncie, IN					1,540
Murray, UT					88
Murray, UT to Tooele, UT			41
Muscatine, IA					1,211
Muskegon, MI					1,561
Muskogee, OK					1,233

Nampa, ID					345
Nashua, NH					2,327
Nashville, TN					1,623
Nebraska City, NE				932
Needles, CA					601
Neola						240
Nephi, UT to Deseret, UT			59
Nephi, UT to Ephraim, UT			35
Nephi, UT to Fillmore, UT			62
Nephi, UT to Fountain Green, UT			14
Nephi, UT to Lehi, UT				61
Nephi, UT to Levan, UT				11
Nephi, UT to Manti, UT				42
Nephi, UT to Provo, UT				45
Nephi, UT to Richfield, UT			70
Nephi, UT to Roosevelt, UT (via Provo, UT)	172
Nephi, UT to Wales, UT				23
Newark, NJ					2,161
New Bedford, MA					2,362
New Brunswick, NJ				2,152
New Haven, CT					2,234
New London, CT					2,283
New Orleans, LA					1,780
Newport, OR					787
Newport, RI					2,335
Newport News, VA				2,178
Newton, UT					18
Newton, UT to Smithfield, UT			11
New York, NY					2,182
Nibley, UT					5
Norfolk, NE					895
Norfolk, VA					2,195
Norristown, PA					2,114
North Bay, Ontario, Canada			1,980
North Logan, UT					2
North Logan, UT to Hyde Park School, UT		4
North Ogden, UT					41
North Platte, NE				657
Norwalk, OH					1,666

Oakland, CA					773
Oakley, KS					755
Oak Ridge, TN					1,776
Ocala, FL					2,211
Oceanside, CA					799
Ogden, UT					46
Ogden, UT to Clearfield, UT			11
Ogden, UT to Coalville, UT			48
Ogden, UT to Granite HS, Salt Lake City, UT	40
Ogden, UT to Layton, UT				11
Ogden, UT to Murray, UT				43
Ogden, UT to Randolph, UT			100
Ogden, UT to Sandy, UT				49
Oklahoma City, OK				1,118
Olympia, WA					810
Omaha, NB					931
Ontario, OR					342
Orangeburg, SC					2,069
Orderville, UT					367
Orem, UT					119
Orlando, FL					2,283
Ortonville, MN					1,051
Osceola, IA					1,057
Oshkosh, WI					1,391
Oswego, NY					2,044
Ottawa, Ontario, Canada				2,124
Ottumwa, IA					1,130
Owenboro, KY					1,528

Paducah, KY					1,490
Page, AZ					453
Palestine, TX					1,397
Palo Alto, CA					888
Panama City, FL					2,020
Panguitch, UT to Ephraim, UT			127
Panguitch, UT to Escalante, UT			66
Panguitch, UT to Glendale, UT			43
Panguitch, UT to Hatch, UT			15
Panguitch, UT to Hurricane, UT			96
Panguitch, UT to Junction, UT			34
Panguitch, UT to Kanab, UT			68
Panguitch, UT to Monticello, UT			330
Panguitch, UT to Orderville, UT			46
Panguitch, UT to Parowan, UT			48
Panguitch, UT to Price, UT			202
Panguitch, UT to Provo, UT			198
Panguitch, UT to Richfield, UT			75
Panguitch, UT to St. George, UT			114
Paradise, UT					15
Paris, ID					61
Park City, UT					119
Park Valley, UT					98
Parkersburg, WV					1,778
Parawon, UT					324
Pasadena, CA (via Las Vegas)			822
Pasco, WA					572
Payson, UT					144
Pecos, TX					1,038
Pendleton, OR					507
Pensacola, FL					1,917
Peoria, IL					1,299
Perry, FL					2,116
Perry, UT					29
Philadelphia, PA				2,123
Phoenix, AZ					719
Pickleville, UT					45
Pierre, SD					816
Pine Bluff, AK					1,491
Pittsburg, KS					1,176
Pittsburgh, PA					1,831
Pittsfield, MA					2,216
Plain City, UT					48
Plattsburgh, NY					2,264
Pleasant Grove, UT				115
Plymouth, NH					2,330
Plymouth, UT					30
Pocatello, ID					97
Ponca City OK					1,094
Pontiac, MI					1,657
Poplar Bluff, MO				1,427
Port Angeles, WA				858
Port Huron, MI					1,702
Portland, MN					2,411
Portland, OR					717
Portsmouth, NH					2,372
Portsmouth, OH					1,719
Pottsville, PA					2,046
Poughkeepsie, NY				2,183
Prairie Du Chien, WI				1,263
Prescott, AZ					671
Presidio, TX					1,190
Preston, ID					27
Price, UT					199
Price, UT to Blanding, UT			188
Price, UT to Elmo, UT				21
Price, UT to Emery, UT				58
Price, UT to Ephraim, UT			101
Price, UT to Ferron, UT				42
Price, UT to Huntington, UT			22
Price, UT to Palmyra, UT			81
Price, UT to Vernal, UT				118
Prince George, British Columbia, Canada		1,288
Princeton, IN					1,485
Providence, RI					2,333
Providence, UT					5
Providence School, Providence, UT		7
Provo, UT					119
Provo, UT to American Fork, UT			14
Provo, UT to Blanding, UT			266
Provo, UT to Castle Dale, UT			111
Provo, UT to Castlegate, UT			71
Provo, UT to Fillmore, UT			106
Provo, UT to Fort Duchesne, UT			135
Provo, UT to Geneva, UT				8
Provo, UT to Gunnison, UT			85
Provo, UT to Heber, UT				32
Provo, UT to Kamas, UT				44
Provo, UT to Kanab, UT				261
Provo, UT to Lehi, UT				17
Provo, UT to Loa, UT				164
Provo, UT to Magna, UT				60
Provo, UT to Manti, UT				83
Provo, UT to Morgan, UT				81
Provo, UT to Park City, UT			50
Provo, UT to Pleasant Grove, UT			10
Provo, UT to Price, UT				79
Provo, UT to Roosevelt, UT			127
Provo, UT to Scipio, UT				79
Provo, UT to Soldier Summit, UT			43
Pueblo, CO					628
Pullman, WA					607
Putnam, CT					2,308

Quebec, Quebec, Canada					2,373
Quincy, IL 						1,222

Racine, WI					1,420
Raleigh, NC					2,112
Randolph, UT					73
Randolph, UT to Ephraim, UT			231
Randolph, UT to Heber, UT			111
Randolph, UT to Provo, UT			123
Randolph, UT to Salt Lake City, UT		130
Rapid City, SD					647
Raton, NM					735
Ravenna, OH					1,741
Rawlins, WY					287
Reading, PA					2,078
Redding, CA					755
