id	freq	dec_entity	alpha_entity	scr_code	pl_name
275	0000010439	&#275;	&#275;	Latin	Latn
276	0000000005	&#276;	&#276;	Latin	Latn
277	0000000006	&#277;	&#277;	Latin	Latn
278	0000000040	&#278;	&#278;	Latin	Latn
279	0000007013	&#279;	&#279;	Latin	Latn
280	0000000044	&#280;	&#280;	Latin	Latn
281	0000005829	&#281;	&#281;	Latin	Latn
282	0000000070	&#282;	&#282;	Latin	Latn
283	0000029579	&#283;	&#283;	Latin	Latn
284	0000000036	&#284;	&#284;	Latin	Latn
285	0000000315	&#285;	&#285;	Latin	Latn
286	0000000133	&#286;	&#286;	Latin	Latn
287	0000013997	&#287;	&#287;	Latin	Latn
288	0000000009	&#288;	&#288;	Latin	Latn
289	0000000051	&#289;	&#289;	Latin	Latn
290	0000000029	&#290;	&#290;	Latin	Latn
291	0000000606	&#291;	&#291;	Latin	Latn
292	0000000006	&#292;	&#292;	Latin	Latn
293	0000000015	&#293;	&#293;	Latin	Latn
294	0000000020	&#294;	&#294;	Latin	Latn
295	0000000201	&#295;	&#295;	Latin	Latn
296	0000000005	&#296;	&#296;	Latin	Latn
297	0000000311	&#297;	&#297;	Latin	Latn
298	0000000048	&#298;	&#298;	Latin	Latn
299	0000010942	&#299;	&#299;	Latin	Latn
301	0000000041	&#301;	&#301;	Latin	Latn
302	0000000130	&#302;	&#302;	Latin	Latn
303	0000002838	&#303;	&#303;	Latin	Latn
304	0000004184	&#304;	&#304;	Latin	Latn
305	0000086632	&#305;	&#305;	Latin	Latn
306	0000000005	&#306;	&#306;	Latin	Latn
307	0000000007	&#307;	&#307;	Latin	Latn
308	0000000024	&#308;	&#308;	Latin	Latn
309	0000000084	&#309;	&#309;	Latin	Latn
310	0000000051	&#310;	&#310;	Latin	Latn
311	0000000640	&#311;	&#311;	Latin	Latn
312	0000000012	&#312;	&#312;	Latin	Latn
313	0000000015	&#313;	&#313;	Latin	Latn
314	0000000512	&#314;	&#314;	Latin	Latn
315	0000000068	&#315;	&#315;	Latin	Latn
316	0000001735	&#316;	&#316;	Latin	Latn
317	0000000077	&#317;	&#317;	Latin	Latn
318	0000000385	&#318;	&#318;	Latin	Latn
319	0000000002	&#319;	&#319;	Latin	Latn
320	0000000002	&#320;	&#320;	Latin	Latn
321	0000000169	&#321;	&#321;	Latin	Latn
322	0000006328	&#322;	&#322;	Latin	Latn
323	0000000022	&#323;	&#323;	Latin	Latn
324	0000000944	&#324;	&#324;	Latin	Latn
325	0000000017	&#325;	&#325;	Latin	Latn
326	0000002373	&#326;	&#326;	Latin	Latn
327	0000000035	&#327;	&#327;	Latin	Latn
328	0000001327	&#328;	&#328;	Latin	Latn
329	0000000011	&#329;	&#329;	Latin	Latn
330	0000000004	&#330;	&#330;	Latin	Latn
331	0000000044	&#331;	&#331;	Latin	Latn
332	0000000036	&#332;	&#332;	Latin	Latn
333	0000000495	&#333;	&#333;	Latin	Latn
334	0000000004	&#334;	&#334;	Latin	Latn
335	0000000037	&#335;	&#335;	Latin	Latn
336	0000000063	&#336;	&#336;	Latin	Latn
337	0000015507	&#337;	&#337;	Latin	Latn
338	0000014703	&#338;	&OElig;	Latin	Latn
339	0000004748	&#339;	&oelig;	Latin	Latn
340	0000000013	&#340;	&#340;	Latin	Latn
341	0000000024	&#341;	&#341;	Latin	Latn
342	0000000003	&#342;	&#342;	Latin	Latn
343	0000000010	&#343;	&#343;	Latin	Latn
344	0000000178	&#344;	&#344;	Latin	Latn
345	0000015250	&#345;	&#345;	Latin	Latn
346	0000000326	&#346;	&#346;	Latin	Latn
347	0000002733	&#347;	&#347;	Latin	Latn
348	0000000014	&#348;	&#348;	Latin	Latn
349	0000000112	&#349;	&#349;	Latin	Latn
350	0000001903	&#350;	&#350;	Latin	Latn
351	0000042740	&#351;	&#351;	Latin	Latn
352	0000009874	&#352;	&Scaron;	Latin	Latn
353	0000043749	&#353;	&scaron;	Latin	Latn
354	0000000227	&#354;	&#354;	Latin	Latn
355	0000014909	&#355;	&#355;	Latin	Latn
356	0000000043	&#356;	&#356;	Latin	Latn
357	0000001922	&#357;	&#357;	Latin	Latn
358	0000000008	&#358;	&#358;	Latin	Latn
359	0000000019	&#359;	&#359;	Latin	Latn
360	0000000007	&#360;	&#360;	Latin	Latn
361	0000000470	&#361;	&#361;	Latin	Latn
362	0000000020	&#362;	&#362;	Latin	Latn
363	0000004817	&#363;	&#363;	Latin	Latn
364	0000000017	&#364;	&#364;	Latin	Latn
365	0000000414	&#365;	&#365;	Latin	Latn
366	0000000037	&#366;	&#366;	Latin	Latn
367	0000006472	&#367;	&#367;	Latin	Latn
368	0000000024	&#368;	&#368;	Latin	Latn
369	0000002627	&#369;	&#369;	Latin	Latn
370	0000000011	&#370;	&#370;	Latin	Latn
371	0000003801	&#371;	&#371;	Latin	Latn
372	0000000002	&#372;	&#372;	Latin	Latn
373	0000000022	&#373;	&#373;	Latin	Latn
375	0000000018	&#375;	&#375;	Latin	Latn
376	0000012064	&#376;	&Yuml;	Latin	Latn
377	0000000049	&#377;	&#377;	Latin	Latn
378	0000000404	&#378;	&#378;	Latin	Latn
379	0000000165	&#379;	&#379;	Latin	Latn
380	0000002917	&#380;	&#380;	Latin	Latn
381	0000003893	&#381;	&#381;	Latin	Latn
382	0000032132	&#382;	&#382;	Latin	Latn
383	0000000038	&#383;	&#383;	Latin	Latn
384	0000000001	&#384;	&#384;	Latin	Latn
385	0000000002	&#385;	&#385;	Latin	Latn
386	0000000012	&#386;	&#386;	Latin	Latn
387	0000001197	&#387;	&#387;	Latin	Latn
390	0000000002	&#390;	&#390;	Latin	Latn
391	0000000002	&#391;	&#391;	Latin	Latn
392	0000000001	&#392;	&#392;	Latin	Latn
396	0000000030	&#396;	&#396;	Latin	Latn
398	0000000006	&#398;	&#398;	Latin	Latn
399	0000000016	&#399;	&#399;	Latin	Latn
400	0000000002	&#400;	&#400;	Latin	Latn
401	0000000008	&#401;	&#401;	Latin	Latn
402	0000047163	&#402;	&fnof;	Latin	Latn
404	0000000002	&#404;	&#404;	Latin	Latn
405	0000000002	&#405;	&#405;	Latin	Latn
406	0000000003	&#406;	&#406;	Latin	Latn
407	0000000030	&#407;	&#407;	Latin	Latn
409	0000000001	&#409;	&#409;	Latin	Latn
413	0000000001	&#413;	&#413;	Latin	Latn
414	0000000001	&#414;	&#414;	Latin	Latn
415	0000000001	&#415;	&#415;	Latin	Latn
416	0000000036	&#416;	&#416;	Latin	Latn
417	0000001881	&#417;	&#417;	Latin	Latn
419	0000000002	&#419;	&#419;	Latin	Latn
420	0000000004	&#420;	&#420;	Latin	Latn
421	0000000001	&#421;	&#421;	Latin	Latn
422	0000000001	&#422;	&#422;	Latin	Latn
423	0000000001	&#423;	&#423;	Latin	Latn
424	0000000005	&#424;	&#424;	Latin	Latn
426	0000000001	&#426;	&#426;	Latin	Latn
428	0000000006	&#428;	&#428;	Latin	Latn
430	0000000004	&#430;	&#430;	Latin	Latn
431	0000000063	&#431;	&#431;	Latin	Latn
432	0000005411	&#432;	&#432;	Latin	Latn
433	0000000004	&#433;	&#433;	Latin	Latn
434	0000000001	&#434;	&#434;	Latin	Latn
435	0000000002	&#435;	&#435;	Latin	Latn
436	0000000007	&#436;	&#436;	Latin	Latn
437	0000000001	&#437;	&#437;	Latin	Latn
439	0000000051	&#439;	&#439;	Latin	Latn
440	0000000026	&#440;	&#440;	Latin	Latn
441	0000000001	&#441;	&#441;	Latin	Latn
443	0000000001	&#443;	&#443;	Latin	Latn
444	0000000004	&#444;	&#444;	Latin	Latn
445	0000000022	&#445;	&#445;	Latin	Latn
446	0000000002	&#446;	&#446;	Latin	Latn
447	0000000002	&#447;	&#447;	Latin	Latn
449	0000000001	&#449;	&#449;	Latin	Latn
450	0000000104	&#450;	&#450;	Latin	Latn
451	0000000004	&#451;	&#451;	Latin	Latn
455	0000000001	&#455;	&#455;	Latin	Latn
460	0000000005	&#460;	&#460;	Latin	Latn
461	0000000003	&#461;	&#461;	Latin	Latn
462	0000000200	&#462;	&#462;	Latin	Latn
464	0000000061	&#464;	&#464;	Latin	Latn
465	0000000001	&#465;	&#465;	Latin	Latn
466	0000000060	&#466;	&#466;	Latin	Latn
468	0000000038	&#468;	&#468;	Latin	Latn
470	0000000003	&#470;	&#470;	Latin	Latn
471	0000000001	&#471;	&#471;	Latin	Latn
472	0000000001	&#472;	&#472;	Latin	Latn
474	0000000012	&#474;	&#474;	Latin	Latn
476	0000000007	&#476;	&#476;	Latin	Latn
477	0000006773	&#477;	&#477;	Latin	Latn
478	0000000001	&#478;	&#478;	Latin	Latn
